t (s) - HBT Measurement	Start-Stop Historam (total events) - HBT Measurement	
0	25	
161,911p	25	
323,821p	38	
485,732p	40	
647,642p	30	
809,553p	30	
971,463p	37	
1,13337n	42	
1,29528n	38	
1,45719n	28	
1,61911n	32	
1,78102n	28	
1,94293n	26	
2,10484n	25	
2,26675n	31	
2,42866n	42	
2,59057n	34	
2,75248n	35	
2,91439n	48	
3,0763n	42	
3,23821n	42	
3,40012n	42	
3,56203n	52	
3,72394n	43	
3,88585n	64	
4,04776n	61	
4,20967n	71	
4,37158n	65	
4,5335n	78	
4,69541n	79	
4,85732n	82	
5,01923n	66	
5,18114n	44	
5,34305n	49	
5,50496n	52	
5,66687n	61	
5,82878n	60	
5,99069n	65	
6,1526n	65	
6,31451n	83	
6,47642n	79	
6,63833n	96	
6,80024n	95	
6,96215n	120	
7,12406n	99	
7,28597n	91	
7,44789n	70	
7,6098n	62	
7,77171n	61	
7,93362n	60	
8,09553n	49	
8,25744n	55	
8,41935n	52	
8,58126n	61	
8,74317n	50	
8,90508n	73	
9,06699n	79	
9,2289n	64	
9,39081n	66	
9,55272n	69	
9,71463n	40	
9,87654n	48	
10,0385n	48	
10,2004n	39	
10,3623n	49	
10,5242n	32	
10,6861n	37	
10,848n	31	
11,0099n	43	
11,1718n	46	
11,3337n	42	
11,4956n	34	
11,6576n	36	
11,8195n	28	
11,9814n	26	
12,1433n	23	
12,3052n	33	
12,4671n	24	
12,629n	39	
12,7909n	25	
12,9528n	26	
13,1148n	29	
13,2767n	37	
13,4386n	21	
13,6005n	40	
13,7624n	30	
13,9243n	41	
14,0862n	31	
14,2481n	26	
14,41n	42	
14,5719n	34	
14,7339n	24	
14,8958n	32	
15,0577n	33	
15,2196n	25	
15,3815n	29	
15,5434n	25	
15,7053n	35	
15,8672n	34	
16,0291n	29	
16,1911n	29	
16,353n	33	
16,5149n	38	
16,6768n	26	
16,8387n	29	
17,0006n	31	
17,1625n	21	
17,3244n	35	
17,4863n	33	
17,6482n	26	
17,8102n	24	
17,9721n	35	
18,134n	30	
18,2959n	38	
18,4578n	28	
18,6197n	37	
18,7816n	31	
18,9435n	25	
19,1054n	37	
19,2674n	34	
19,4293n	31	
19,5912n	28	
19,7531n	29	
19,915n	33	
20,0769n	26	
20,2388n	41	
20,4007n	26	
20,5626n	27	
20,7245n	31	
20,8865n	27	
21,0484n	35	
21,2103n	31	
21,3722n	15	
21,5341n	28	
21,696n	22	
21,8579n	28	
22,0198n	30	
22,1817n	25	
22,3437n	29	
22,5056n	30	
22,6675n	34	
22,8294n	34	
22,9913n	32	
23,1532n	19	
23,3151n	30	
23,477n	22	
23,6389n	34	
23,8009n	32	
23,9628n	30	
24,1247n	28	
24,2866n	32	
24,4485n	25	
24,6104n	40	
24,7723n	34	
24,9342n	32	
25,0961n	22	
25,258n	19	
25,42n	25	
25,5819n	32	
25,7438n	43	
25,9057n	33	
26,0676n	31	
26,2295n	36	
26,3914n	26	
26,5533n	19	
26,7152n	31	
26,8772n	37	
27,0391n	33	
27,201n	24	
27,3629n	28	
27,5248n	37	
27,6867n	32	
27,8486n	27	
28,0105n	26	
28,1724n	35	
28,3343n	26	
28,4963n	26	
28,6582n	36	
28,8201n	30	
28,982n	28	
29,1439n	36	
29,3058n	27	
29,4677n	29	
29,6296n	34	
29,7915n	29	
29,9535n	35	
30,1154n	26	
30,2773n	27	
30,4392n	26	
30,6011n	34	
30,763n	31	
30,9249n	19	
31,0868n	29	
31,2487n	20	
31,4106n	30	
31,5726n	28	
31,7345n	26	
31,8964n	32	
32,0583n	39	
32,2202n	24	
32,3821n	34	
32,544n	29	
32,7059n	20	
32,8678n	24	
33,0298n	35	
33,1917n	28	
33,3536n	24	
33,5155n	26	
33,6774n	29	
33,8393n	31	
34,0012n	43	
34,1631n	28	
34,325n	31	
34,4869n	37	
34,6489n	31	
34,8108n	31	
34,9727n	22	
35,1346n	34	
35,2965n	29	
35,4584n	38	
35,6203n	31	
35,7822n	35	
35,9441n	36	
36,1061n	20	
36,268n	26	
36,4299n	20	
36,5918n	36	
36,7537n	28	
36,9156n	31	
37,0775n	29	
37,2394n	34	
37,4013n	29	
37,5632n	21	
37,7252n	21	
37,8871n	38	
38,049n	26	
38,2109n	37	
38,3728n	24	
38,5347n	27	
38,6966n	34	
38,8585n	30	
39,0204n	23	
39,1824n	37	
39,3443n	33	
39,5062n	22	
39,6681n	27	
39,83n	30	
39,9919n	35	
40,1538n	22	
40,3157n	36	
40,4776n	34	
40,6395n	32	
40,8015n	32	
40,9634n	31	
41,1253n	32	
41,2872n	29	
41,4491n	22	
41,611n	34	
41,7729n	39	
41,9348n	22	
42,0967n	29	
42,2587n	31	
42,4206n	30	
42,5825n	25	
42,7444n	29	
42,9063n	30	
43,0682n	31	
43,2301n	27	
43,392n	25	
43,5539n	35	
43,7158n	37	
43,8778n	27	
44,0397n	26	
44,2016n	25	
44,3635n	35	
44,5254n	32	
44,6873n	33	
44,8492n	32	
45,0111n	30	
45,173n	37	
45,335n	23	
45,4969n	31	
45,6588n	39	
45,8207n	29	
45,9826n	36	
46,1445n	27	
46,3064n	32	
46,4683n	29	
46,6302n	35	
46,7921n	36	
46,9541n	40	
47,116n	37	
47,2779n	22	
47,4398n	29	
47,6017n	32	
47,7636n	33	
47,9255n	32	
48,0874n	27	
48,2493n	23	
48,4113n	25	
48,5732n	30	
48,7351n	25	
48,897n	34	
49,0589n	32	
49,2208n	36	
49,3827n	22	
49,5446n	24	
49,7065n	24	
49,8684n	31	
50,0304n	37	
50,1923n	31	
50,3542n	36	
50,5161n	28	
50,678n	28	
50,8399n	29	
51,0018n	25	
51,1637n	43	
51,3256n	27	
51,4876n	28	
51,6495n	21	
51,8114n	32	
51,9733n	29	
52,1352n	27	
52,2971n	40	
52,459n	27	
52,6209n	41	
52,7828n	28	
52,9447n	30	
53,1067n	27	
53,2686n	31	
53,4305n	31	
53,5924n	31	
53,7543n	32	
53,9162n	29	
54,0781n	22	
54,24n	20	
54,4019n	39	
54,5639n	35	
54,7258n	32	
54,8877n	28	
55,0496n	30	
55,2115n	34	
55,3734n	29	
55,5353n	31	
55,6972n	27	
55,8591n	22	
56,021n	22	
56,183n	29	
56,3449n	23	
56,5068n	37	
56,6687n	22	
56,8306n	27	
56,9925n	30	
57,1544n	21	
57,3163n	35	
57,4782n	38	
57,6402n	25	
57,8021n	27	
57,964n	32	
58,1259n	25	
58,2878n	29	
58,4497n	25	
58,6116n	30	
58,7735n	28	
58,9354n	27	
59,0973n	33	
59,2593n	27	
59,4212n	23	
59,5831n	33	
59,745n	32	
59,9069n	37	
60,0688n	35	
60,2307n	30	
60,3926n	24	
60,5545n	25	
60,7165n	24	
60,8784n	34	
61,0403n	34	
61,2022n	34	
61,3641n	30	
61,526n	31	
61,6879n	33	
61,8498n	23	
62,0117n	29	
62,1736n	30	
62,3356n	26	
62,4975n	36	
62,6594n	33	
62,8213n	39	
62,9832n	36	
63,1451n	21	
63,307n	22	
63,4689n	24	
63,6308n	25	
63,7928n	27	
63,9547n	28	
64,1166n	32	
64,2785n	22	
64,4404n	36	
64,6023n	30	
64,7642n	24	
64,9261n	37	
65,088n	27	
65,2499n	40	
65,4119n	31	
65,5738n	21	
65,7357n	24	
65,8976n	34	
66,0595n	25	
66,2214n	29	
66,3833n	30	
66,5452n	35	
66,7071n	29	
66,8691n	37	
67,031n	32	
67,1929n	30	
67,3548n	28	
67,5167n	28	
67,6786n	26	
67,8405n	26	
68,0024n	34	
68,1643n	28	
68,3262n	29	
68,4882n	23	
68,6501n	26	
68,812n	34	
68,9739n	25	
69,1358n	34	
69,2977n	32	
69,4596n	27	
69,6215n	36	
69,7834n	38	
69,9454n	30	
70,1073n	42	
70,2692n	28	
70,4311n	40	
70,593n	23	
70,7549n	16	
70,9168n	33	
71,0787n	26	
71,2406n	39	
71,4026n	28	
71,5645n	40	
71,7264n	32	
71,8883n	34	
72,0502n	28	
72,2121n	26	
72,374n	29	
72,5359n	25	
72,6978n	32	
72,8597n	29	
73,0217n	20	
73,1836n	39	
73,3455n	27	
73,5074n	26	
73,6693n	36	
73,8312n	20	
73,9931n	27	
74,155n	32	
74,3169n	29	
74,4789n	29	
74,6408n	27	
74,8027n	40	
74,9646n	22	
75,1265n	30	
75,2884n	21	
75,4503n	22	
75,6122n	25	
75,7741n	28	
75,936n	26	
76,098n	30	
76,2599n	23	
76,4218n	29	
76,5837n	26	
76,7456n	26	
76,9075n	32	
77,0694n	35	
77,2313n	18	
77,3932n	31	
77,5552n	20	
77,7171n	26	
77,879n	28	
78,0409n	32	
78,2028n	37	
78,3647n	35	
78,5266n	26	
78,6885n	28	
78,8504n	24	
79,0123n	33	
79,1743n	29	
79,3362n	29	
79,4981n	28	
79,66n	26	
79,8219n	35	
79,9838n	22	
80,1457n	36	
80,3076n	20	
80,4695n	32	
80,6315n	26	
80,7934n	29	
80,9553n	32	
81,1172n	26	
81,2791n	30	
81,441n	30	
81,6029n	29	
81,7648n	31	
81,9267n	35	
82,0886n	25	
82,2506n	30	
82,4125n	29	
82,5744n	33	
82,7363n	37	
82,8982n	31	
83,0601n	29	
83,222n	27	
83,3839n	34	
83,5458n	29	
83,7078n	31	
83,8697n	26	
84,0316n	25	
84,1935n	39	
84,3554n	23	
84,5173n	30	
84,6792n	33	
84,8411n	27	
85,003n	28	
85,1649n	46	
85,3269n	33	
85,4888n	29	
85,6507n	29	
85,8126n	26	
85,9745n	31	
86,1364n	27	
86,2983n	20	
86,4602n	26	
86,6221n	32	
86,7841n	22	
86,946n	32	
87,1079n	33	
87,2698n	22	
87,4317n	27	
87,5936n	29	
87,7555n	34	
87,9174n	21	
88,0793n	31	
88,2412n	33	
88,4032n	27	
88,5651n	41	
88,727n	34	
88,8889n	24	
89,0508n	31	
89,2127n	32	
89,3746n	21	
89,5365n	34	
89,6984n	24	
89,8604n	23	
90,0223n	22	
90,1842n	32	
90,3461n	30	
90,508n	40	
90,6699n	27	
90,8318n	32	
90,9937n	22	
91,1556n	30	
91,3175n	28	
91,4795n	28	
91,6414n	34	
91,8033n	35	
91,9652n	32	
92,1271n	33	
92,289n	28	
92,4509n	26	
92,6128n	30	
92,7747n	32	
92,9367n	24	
93,0986n	33	
93,2605n	26	
93,4224n	32	
93,5843n	43	
93,7462n	31	
93,9081n	34	
94,07n	35	
94,2319n	22	
94,3938n	26	
94,5558n	27	
94,7177n	32	
94,8796n	28	
95,0415n	37	
95,2034n	29	
95,3653n	25	
95,5272n	31	
95,6891n	15	
95,851n	23	
96,013n	32	
96,1749n	34	
96,3368n	32	
96,4987n	30	
96,6606n	24	
96,8225n	14	
96,9844n	31	
97,1463n	30	
97,3082n	19	
97,4701n	26	
97,6321n	32	
97,794n	20	
97,9559n	32	
98,1178n	23	
98,2797n	26	
98,4416n	27	
98,6035n	29	
98,7654n	21	
98,9273n	25	
99,0893n	33	
99,2512n	33	
99,4131n	26	
99,575n	32	
99,7369n	29	
99,8988n	21	
