tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
-50,3542n	1,31354	-50,3542n	1	
-50,1923n	875,693m	-50,1923n	1	
-50,0304n	842,012m	-50,0304n	1	
-49,8684n	1,01041	-49,8684n	1	
-49,7065n	1,34722	-49,7065n	1	
-49,5446n	1,24618	-49,5446n	1	
-49,3827n	1,14514	-49,3827n	1	
-49,2208n	1,24618	-49,2208n	1	
-49,0589n	774,651m	-49,0589n	1	
-48,897n	842,012m	-48,897n	1	
-48,7351n	976,734m	-48,7351n	1	
-48,5732n	1,0441	-48,5732n	1	
-48,4113n	943,054m	-48,4113n	1	
-48,2493n	909,373m	-48,2493n	1	
-48,0874n	842,012m	-48,0874n	1	
-47,9255n	808,332m	-47,9255n	1	
-47,7636n	740,971m	-47,7636n	1	
-47,6017n	1,2125	-47,6017n	1	
-47,4398n	1,2125	-47,4398n	1	
-47,2779n	572,568m	-47,2779n	1	
-47,116n	808,332m	-47,116n	1	
-46,9541n	1,01041	-46,9541n	1	
-46,7921n	976,734m	-46,7921n	1	
-46,6302n	943,054m	-46,6302n	1	
-46,4683n	976,734m	-46,4683n	1	
-46,3064n	1,14514	-46,3064n	1	
-46,1445n	740,971m	-46,1445n	1	
-45,9826n	1,2125	-45,9826n	1	
-45,8207n	909,373m	-45,8207n	1	
-45,6588n	909,373m	-45,6588n	1	
-45,4969n	1,17882	-45,4969n	1	
-45,335n	639,929m	-45,335n	1	
-45,173n	1,01041	-45,173n	1	
-45,0111n	1,24618	-45,0111n	1	
-44,8492n	1,27986	-44,8492n	1	
-44,6873n	707,29m	-44,6873n	1	
-44,5254n	1,14514	-44,5254n	1	
-44,3635n	740,971m	-44,3635n	1	
-44,2016n	1,17882	-44,2016n	1	
-44,0397n	943,054m	-44,0397n	1	
-43,8778n	1,0441	-43,8778n	1	
-43,7158n	1,07778	-43,7158n	1	
-43,5539n	842,012m	-43,5539n	1	
-43,392n	1,07778	-43,392n	1	
-43,2301n	1,41458	-43,2301n	1	
-43,0682n	1,17882	-43,0682n	1	
-42,9063n	707,29m	-42,9063n	1	
-42,7444n	976,734m	-42,7444n	1	
-42,5825n	606,249m	-42,5825n	1	
-42,4206n	842,012m	-42,4206n	1	
-42,2587n	1,01041	-42,2587n	1	
-42,0967n	774,651m	-42,0967n	1	
-41,9348n	909,373m	-41,9348n	1	
-41,7729n	1,07778	-41,7729n	1	
-41,611n	808,332m	-41,611n	1	
-41,4491n	1,07778	-41,4491n	1	
-41,2872n	1,14514	-41,2872n	1	
-41,1253n	943,054m	-41,1253n	1	
-40,9634n	740,971m	-40,9634n	1	
-40,8015n	1,07778	-40,8015n	1	
-40,6395n	1,0441	-40,6395n	1	
-40,4776n	1,07778	-40,4776n	1	
-40,3157n	842,012m	-40,3157n	1	
-40,1538n	808,332m	-40,1538n	1	
-39,9919n	1,24618	-39,9919n	1	
-39,83n	976,734m	-39,83n	1	
-39,6681n	1,0441	-39,6681n	1	
-39,5062n	1,01041	-39,5062n	1	
-39,3443n	875,693m	-39,3443n	1	
-39,1824n	774,651m	-39,1824n	1	
-39,0204n	1,07778	-39,0204n	1	
-38,8585n	1,17882	-38,8585n	1	
-38,6966n	842,012m	-38,6966n	1	
-38,5347n	808,332m	-38,5347n	1	
-38,3728n	1,17882	-38,3728n	1	
-38,2109n	1,2125	-38,2109n	1	
-38,049n	808,332m	-38,049n	1	
-37,8871n	1,17882	-37,8871n	1	
-37,7252n	1,3809	-37,7252n	1	
-37,5632n	976,734m	-37,5632n	1	
-37,4013n	976,734m	-37,4013n	1	
-37,2394n	976,734m	-37,2394n	1	
-37,0775n	1,0441	-37,0775n	1	
-36,9156n	842,012m	-36,9156n	1	
-36,7537n	1,07778	-36,7537n	1	
-36,5918n	909,373m	-36,5918n	1	
-36,4299n	842,012m	-36,4299n	1	
-36,268n	875,693m	-36,268n	1	
-36,1061n	606,249m	-36,1061n	1	
-35,9441n	1,11146	-35,9441n	1	
-35,7822n	1,11146	-35,7822n	1	
-35,6203n	943,054m	-35,6203n	1	
-35,4584n	639,929m	-35,4584n	1	
-35,2965n	673,61m	-35,2965n	1	
-35,1346n	943,054m	-35,1346n	1	
-34,9727n	808,332m	-34,9727n	1	
-34,8108n	875,693m	-34,8108n	1	
-34,6489n	1,24618	-34,6489n	1	
-34,4869n	740,971m	-34,4869n	1	
-34,325n	1,17882	-34,325n	1	
-34,1631n	1,07778	-34,1631n	1	
-34,0012n	1,01041	-34,0012n	1	
-33,8393n	943,054m	-33,8393n	1	
-33,6774n	875,693m	-33,6774n	1	
-33,5155n	1,17882	-33,5155n	1	
-33,3536n	943,054m	-33,3536n	1	
-33,1917n	1,14514	-33,1917n	1	
-33,0298n	1,01041	-33,0298n	1	
-32,8678n	943,054m	-32,8678n	1	
-32,7059n	1,44826	-32,7059n	1	
-32,544n	1,0441	-32,544n	1	
-32,3821n	808,332m	-32,3821n	1	
-32,2202n	1,11146	-32,2202n	1	
-32,0583n	1,2125	-32,0583n	1	
-31,8964n	1,11146	-31,8964n	1	
-31,7345n	1,07778	-31,7345n	1	
-31,5726n	1,14514	-31,5726n	1	
-31,4106n	909,373m	-31,4106n	1	
-31,2487n	1,0441	-31,2487n	1	
-31,0868n	1,0441	-31,0868n	1	
-30,9249n	875,693m	-30,9249n	1	
-30,763n	1,11146	-30,763n	1	
-30,6011n	1,27986	-30,6011n	1	
-30,4392n	808,332m	-30,4392n	1	
-30,2773n	909,373m	-30,2773n	1	
-30,1154n	740,971m	-30,1154n	1	
-29,9535n	1,01041	-29,9535n	1	
-29,7915n	1,11146	-29,7915n	1	
-29,6296n	1,01041	-29,6296n	1	
