t (s) - HBT Measurement	Start-Stop Historam (total events) - HBT Measurement	
0	23	
161,911p	39	
323,821p	29	
485,732p	34	
647,642p	39	
809,553p	41	
971,463p	37	
1,13337n	36	
1,29528n	30	
1,45719n	34	
1,61911n	31	
1,78102n	27	
1,94293n	31	
2,10484n	36	
2,26675n	41	
2,42866n	32	
2,59057n	43	
2,75248n	40	
2,91439n	40	
3,0763n	44	
3,23821n	50	
3,40012n	60	
3,56203n	36	
3,72394n	50	
3,88585n	66	
4,04776n	60	
4,20967n	64	
4,37158n	69	
4,5335n	72	
4,69541n	63	
4,85732n	52	
5,01923n	54	
5,18114n	61	
5,34305n	50	
5,50496n	53	
5,66687n	53	
5,82878n	58	
5,99069n	66	
6,1526n	63	
6,31451n	73	
6,47642n	80	
6,63833n	122	
6,80024n	112	
6,96215n	113	
7,12406n	111	
7,28597n	71	
7,44789n	78	
7,6098n	63	
7,77171n	53	
7,93362n	49	
8,09553n	55	
8,25744n	60	
8,41935n	51	
8,58126n	38	
8,74317n	51	
8,90508n	62	
9,06699n	83	
9,2289n	58	
9,39081n	78	
9,55272n	47	
9,71463n	40	
9,87654n	36	
10,0385n	45	
10,2004n	44	
10,3623n	35	
10,5242n	40	
10,6861n	51	
10,848n	30	
11,0099n	36	
11,1718n	41	
11,3337n	27	
11,4956n	23	
11,6576n	27	
11,8195n	32	
11,9814n	35	
12,1433n	41	
12,3052n	25	
12,4671n	43	
12,629n	32	
12,7909n	41	
12,9528n	33	
13,1148n	39	
13,2767n	35	
13,4386n	30	
13,6005n	27	
13,7624n	25	
13,9243n	34	
14,0862n	40	
14,2481n	24	
14,41n	36	
14,5719n	26	
14,7339n	29	
14,8958n	33	
15,0577n	35	
15,2196n	32	
15,3815n	25	
15,5434n	19	
15,7053n	34	
15,8672n	35	
16,0291n	23	
16,1911n	36	
16,353n	36	
16,5149n	28	
16,6768n	35	
16,8387n	27	
17,0006n	36	
17,1625n	25	
17,3244n	25	
17,4863n	26	
17,6482n	30	
17,8102n	29	
17,9721n	31	
18,134n	31	
18,2959n	25	
18,4578n	27	
18,6197n	39	
18,7816n	27	
18,9435n	29	
19,1054n	35	
19,2674n	30	
19,4293n	32	
19,5912n	31	
19,7531n	35	
19,915n	38	
20,0769n	18	
20,2388n	39	
20,4007n	29	
20,5626n	41	
20,7245n	30	
20,8865n	28	
21,0484n	31	
21,2103n	32	
21,3722n	25	
21,5341n	36	
21,696n	28	
21,8579n	29	
22,0198n	25	
22,1817n	27	
22,3437n	24	
22,5056n	30	
22,6675n	28	
22,8294n	27	
22,9913n	31	
23,1532n	36	
23,3151n	22	
23,477n	35	
23,6389n	39	
23,8009n	35	
23,9628n	24	
24,1247n	31	
24,2866n	29	
24,4485n	20	
24,6104n	31	
24,7723n	29	
24,9342n	29	
25,0961n	38	
25,258n	36	
25,42n	29	
25,5819n	26	
25,7438n	29	
25,9057n	36	
26,0676n	34	
26,2295n	26	
26,3914n	21	
26,5533n	29	
26,7152n	35	
26,8772n	28	
27,0391n	36	
27,201n	24	
27,3629n	29	
27,5248n	29	
27,6867n	25	
27,8486n	33	
28,0105n	31	
28,1724n	25	
28,3343n	31	
28,4963n	32	
28,6582n	35	
28,8201n	33	
28,982n	31	
29,1439n	33	
29,3058n	26	
29,4677n	18	
29,6296n	29	
29,7915n	31	
29,9535n	29	
30,1154n	31	
30,2773n	37	
30,4392n	33	
30,6011n	31	
30,763n	29	
30,9249n	27	
31,0868n	30	
31,2487n	27	
31,4106n	33	
31,5726n	27	
31,7345n	23	
31,8964n	33	
32,0583n	45	
32,2202n	34	
32,3821n	31	
32,544n	30	
32,7059n	28	
32,8678n	46	
33,0298n	33	
33,1917n	34	
33,3536n	19	
33,5155n	33	
33,6774n	24	
33,8393n	24	
34,0012n	28	
34,1631n	36	
34,325n	29	
34,4869n	30	
34,6489n	35	
34,8108n	29	
34,9727n	34	
35,1346n	35	
35,2965n	33	
35,4584n	36	
35,6203n	24	
35,7822n	37	
35,9441n	32	
36,1061n	26	
36,268n	33	
36,4299n	31	
36,5918n	19	
36,7537n	25	
36,9156n	38	
37,0775n	28	
37,2394n	36	
37,4013n	31	
37,5632n	32	
37,7252n	26	
37,8871n	32	
38,049n	27	
38,2109n	29	
38,3728n	28	
38,5347n	36	
38,6966n	45	
38,8585n	42	
39,0204n	36	
39,1824n	24	
39,3443n	29	
39,5062n	27	
39,6681n	35	
39,83n	30	
39,9919n	35	
40,1538n	21	
40,3157n	39	
40,4776n	32	
40,6395n	32	
40,8015n	27	
40,9634n	26	
41,1253n	31	
41,2872n	29	
41,4491n	25	
41,611n	23	
41,7729n	46	
41,9348n	22	
42,0967n	30	
42,2587n	27	
42,4206n	24	
42,5825n	28	
42,7444n	23	
42,9063n	36	
43,0682n	30	
43,2301n	32	
43,392n	33	
43,5539n	27	
43,7158n	39	
43,8778n	42	
44,0397n	28	
44,2016n	31	
44,3635n	32	
44,5254n	26	
44,6873n	20	
44,8492n	19	
45,0111n	34	
45,173n	32	
45,335n	32	
45,4969n	29	
45,6588n	24	
45,8207n	29	
45,9826n	19	
46,1445n	25	
46,3064n	30	
46,4683n	24	
46,6302n	30	
46,7921n	23	
46,9541n	21	
47,116n	30	
47,2779n	21	
47,4398n	28	
47,6017n	30	
47,7636n	32	
47,9255n	29	
48,0874n	31	
48,2493n	28	
48,4113n	32	
48,5732n	33	
48,7351n	26	
48,897n	26	
49,0589n	23	
49,2208n	28	
49,3827n	41	
49,5446n	33	
49,7065n	26	
49,8684n	31	
50,0304n	26	
50,1923n	26	
50,3542n	33	
50,5161n	30	
50,678n	35	
50,8399n	30	
51,0018n	23	
51,1637n	33	
51,3256n	30	
51,4876n	32	
51,6495n	26	
51,8114n	38	
51,9733n	31	
52,1352n	34	
52,2971n	26	
52,459n	27	
52,6209n	42	
52,7828n	34	
52,9447n	23	
53,1067n	35	
53,2686n	38	
53,4305n	16	
53,5924n	28	
53,7543n	27	
53,9162n	34	
54,0781n	35	
54,24n	22	
54,4019n	33	
54,5639n	40	
54,7258n	28	
54,8877n	24	
55,0496n	36	
55,2115n	19	
55,3734n	25	
55,5353n	27	
55,6972n	31	
55,8591n	28	
56,021n	27	
56,183n	40	
56,3449n	21	
56,5068n	28	
56,6687n	24	
56,8306n	29	
56,9925n	34	
57,1544n	35	
57,3163n	34	
57,4782n	28	
57,6402n	32	
57,8021n	25	
57,964n	31	
58,1259n	29	
58,2878n	32	
58,4497n	32	
58,6116n	34	
58,7735n	27	
58,9354n	31	
59,0973n	26	
59,2593n	28	
59,4212n	26	
59,5831n	33	
59,745n	39	
59,9069n	39	
60,0688n	32	
60,2307n	29	
60,3926n	27	
60,5545n	39	
60,7165n	29	
60,8784n	24	
61,0403n	26	
61,2022n	26	
61,3641n	24	
61,526n	35	
61,6879n	22	
61,8498n	33	
62,0117n	23	
62,1736n	25	
62,3356n	41	
62,4975n	43	
62,6594n	24	
62,8213n	44	
62,9832n	21	
63,1451n	25	
63,307n	29	
63,4689n	30	
63,6308n	26	
63,7928n	37	
63,9547n	35	
64,1166n	26	
64,2785n	32	
64,4404n	32	
64,6023n	29	
64,7642n	37	
64,9261n	26	
65,088n	26	
65,2499n	32	
65,4119n	22	
65,5738n	28	
65,7357n	24	
65,8976n	34	
66,0595n	28	
66,2214n	32	
66,3833n	24	
66,5452n	20	
66,7071n	26	
66,8691n	41	
67,031n	29	
67,1929n	33	
67,3548n	28	
67,5167n	38	
67,6786n	33	
67,8405n	28	
68,0024n	25	
68,1643n	27	
68,3262n	27	
68,4882n	30	
68,6501n	32	
68,812n	27	
68,9739n	31	
69,1358n	31	
69,2977n	32	
69,4596n	27	
69,6215n	34	
69,7834n	27	
69,9454n	25	
70,1073n	31	
70,2692n	27	
70,4311n	26	
70,593n	19	
70,7549n	38	
70,9168n	33	
71,0787n	32	
71,2406n	25	
71,4026n	37	
71,5645n	33	
71,7264n	24	
71,8883n	37	
72,0502n	25	
72,2121n	26	
72,374n	33	
72,5359n	27	
72,6978n	33	
72,8597n	29	
73,0217n	26	
73,1836n	34	
73,3455n	36	
73,5074n	25	
73,6693n	19	
73,8312n	40	
73,9931n	35	
74,155n	34	
74,3169n	28	
74,4789n	31	
74,6408n	29	
74,8027n	31	
74,9646n	25	
75,1265n	31	
75,2884n	28	
75,4503n	37	
75,6122n	38	
75,7741n	25	
